,Framework,a (Å),b,c,alpha,beta,gamma,Volume (Å^3),Density (T sites/ 1000 Å^3),Rings,Max Diameter (Å),Max diameter along a,Max diameter along b,Max diameter along c,Accessible Volume %,Number of T Sites
1,ABW,9.873,5.254,8.77,90,90,90,454.9,17.6,8_6_4,4.24,2.61,3.51,2.61,5.19,1
2,ACO,9.905,9.905,9.905,90,90,90,971.8,16.5,8_4,4.58,3.56,3.56,3.56,8.68,1
3,AEI,13.677,12.607,18.49,90,90,90,3189.4,15.1,8_6_4,7.33,3.84,3.84,3.64,17.31,3
4,AEL,8.312,18.729,13.39,90,90,90,2084.8,19.2,10_6_4,5.64,4.63,2.01,2.01,6.77,3
5,AEN,18.531,13.355,9.636,90,90,90,2384.7,20.1,8_6_4,4.43,1.21,3.38,3.66,4.02,3
6,AET,32.829,14.38,8.374,90,90,90,3953.2,18.2,14_6_4,8.41,1.78,1.78,7.59,12.88,5
7,AFG,12.548,12.548,20.78,90,90,120,2834.8,16.9,6_4,6.37,2.55,2.55,2.54,0,3
8,AFI,13.827,13.827,8.58,90,90,120,1420.6,16.9,12_6_4,8.3,2.22,2.22,7.42,14.07,1
9,AFN,14.02,13.466,10.2,90,107.239,90,1839.6,17.4,8_6_4,5.25,2.85,2.53,2.85,7.82,4
10,AFO,9.764,25.614,8.327,90,90,90,2082.5,19.2,10_6_4,5.43,2.21,1.49,5.07,7.23,4
11,AFR,22.305,13.567,6.972,90,90,90,2109.8,15.2,12_8_6_4,8.36,1.64,3.77,6.97,19.62,4
12,AFS,13.058,13.058,25.91,90,90,120,3827.5,14.6,12_8_6_4,9.51,3.76,3.76,6.01,21.6,3
13,AFT,13.691,13.691,29.44,90,90,120,4780.6,15.1,8_6_4,7.75,3.68,3.68,3.68,17.28,3
14,AFV,13.2261,13.2261,12.58,90,90,120,1906.4,15.7,8_6_4,7.08,3.46,3.46,2.48,15.29,3
15,AFX,13.674,13.674,19.69,90,90,120,3189.2,15.1,8_6_4,7.76,3.73,3.73,3.73,17.28,2
16,AFY,12.33,12.33,8.603,90,90,120,1132.7,14.1,12_8_4,7.82,4.08,4.08,5.9,21.88,2
17,AHT,15.794,9.206,8.589,90,90,90,1248.8,19.2,10_6_4,3.95,2.4,2.4,2.75,0,2
18,ANA,13.567,13.567,13.56,90,90,90,2497.2,19.2,8_6_4,4.21,2.43,2.43,2.43,0,1
19,APC,8.992,19.356,10.39,90,90,90,1808.7,17.7,8_6_4,4.23,3.16,2.57,2.6,4.8,2
20,APD,8.724,20.06,10.16,90,90,90,1779.1,18,8_6_4,4.93,3.63,2.45,2.68,5.73,2
21,AST,13.624,13.624,13.62,90,90,90,2528.8,15.8,6_4,7.94,1.91,1.91,1.91,0,2
22,ASV,8.674,8.674,13.91,90,90,90,1047.2,19.1,12_6_4,5.43,1.52,1.52,4.43,6.98,2
23,ATN,13.071,13.071,5.256,90,90,90,898,17.8,8_6_4,5.91,1.94,1.94,4.11,7.3,1
24,ATO,20.914,20.914,5.061,90,90,120,1917.1,18.8,12_6_4,5.74,2.12,2.12,5.49,6.93,1
25,ATS,13.164,21.584,5.257,90,90,90,1493.7,16.1,12_6_4,7.3,2.44,1.62,6.82,15.64,3
26,ATT,9.98,7.514,9.369,90,90,90,702.6,17.1,8_6_4,5.42,3.79,3.69,1.41,9.18,2
27,ATV,8.579,15.311,9.661,90,90,90,1269,18.9,8_6_4,4.74,3.48,2.39,2.14,3.92,2
28,AVE,12.88,12.88,60.6,90,90,120,8707.7,16.5,8_6_4,6.86,3.26,3.26,1.88,12.39,4
29,AVL,13.2381,13.2381,17.48,90,90,120,2653.3,15.8,8_6_4,7.14,3.55,3.55,2.48,14.36,4
30,AWO,9.101,15.035,19.24,90,90,90,2632.8,18.2,8_6_4,5.16,3.67,3.04,1.89,5.35,3
31,AWW,13.634,13.634,7.627,90,90,90,1417.8,16.9,8_6_4,7.48,1.86,1.86,4.17,12.04,2
32,BCT,8.952,8.952,5.255,90,90,90,421.1,19,8_6_4,3.8,2.55,2.55,2.91,0.45,1
33,BEA,12.632,12.632,26.18,90,90,90,4178.4,15.3,12_6_5_4,6.68,5.95,5.95,5.95,20.52,9
34,BEC,12.769,12.769,12.97,90,90,90,2115.9,15.1,12_6_5_4,6.95,6.09,6.09,6.09,21.18,3
35,BIK,7.54,16.222,5.256,90,90,90,642.9,18.7,8_6_5,4.17,2.55,1.56,3.55,3.96,2
36,BOF,7.5032,12.7728,13.7,90,90,90,1313.6,18.3,10_6_5_4,5.58,4.67,1.77,1.77,9.06,3
37,BOG,20.014,23.58,12.66,90,90,90,5978.9,16.1,12_10_6_5_4,8.05,6.88,4.92,4.92,18.13,6
38,BOZ,14.1488,35.7082,14.07,90,90,90,7112.1,12.9,10_8_6_4_3,8.71,4.92,3.68,4.92,22.27,8
39,BPH,13.057,13.057,12.96,90,90,120,1914.8,14.6,12_8_6_4,9.51,3.51,3.51,6.01,21.65,3
40,BRE,6.76,17.093,7.603,90,95.827,90,874,18.3,8_6_5_4,5.29,2.74,1.64,2.96,6.84,4
41,BSV,17.252,17.252,17.25,90,90,90,5134.7,18.7,12_6_4,5.17,3.84,3.84,3.84,6.59,1
42,CAN,12.494,12.494,5.254,90,90,120,710.3,16.9,12_6_4,6.27,2.53,2.53,5.96,8.41,1
43,CAS,5.256,14.132,17.22,90,90,90,1279.6,18.8,8_6_5,5.05,2.97,2.21,2.45,3.95,3
44,CDO,7.5566,18.7151,14.09,90,90,90,1993.9,18.1,8_5,5.78,3.44,1.52,3.35,7.82,4
45,CFI,13.961,5.264,25.96,90,90,90,1908.3,16.8,14_6_5_4,7.47,2.62,7.26,2.4,13.38,5
46,CGF,15.501,16.902,7.273,90,96.07,90,1894.8,19,10_8_6_4,5.76,2.29,1.46,3.03,2.95,5
47,CGS,8.444,14.083,15.92,90,90,90,1894.2,16.9,10_8_6_4,5.86,4.01,2.97,2.97,10.62,4
48,CHA,13.675,13.675,14.76,90,90,120,2391.6,15.1,8_6_4,7.37,3.72,3.72,3.72,17.27,1
49,CHI,5.01,31.234,9.012,90,90,90,1410.2,19.9,9_6_5_4,3.93,3.63,1.25,1.51,2.39,4
50,CLO,25.84,25.84,25.84,90,90,90,17253.5,11.1,20_8_6_4,15.72,6.31,6.31,6.31,33.76,5
51,CON,22.684,13.373,12.55,90,69.479,90,3566.3,15.7,12_10_6_5_4,7.45,4.89,4.89,5.6,19.18,7
52,CSV,13.027,11.1822,9.218,92.35,107.3,104.5,1231.6,16.2,10_8_6_5_4,7.56,1.72,3.28,5.31,18.01,10
53,CTH,10.4578,27.7607,27.2,90,90,90,7897.3,16.2,14_10_6_5_4,8.14,7.45,3.92,2.22,17.22,11
54,CZP,9.4,9.4,15.26,90,90,120,1167.8,20.6,12_8_4,4.26,1.25,1.25,3.68,3.97,3
55,DAC,18.574,7.542,10.37,90,108.917,90,1375.2,17.5,10_8_5_4,5.28,1.57,4.19,3.66,9.5,4
56,DDR,13.795,13.795,40.75,90,90,120,6716,17.9,8_6_5_4,7.66,3.65,3.65,2.63,9.21,7
57,DFO,21.995,21.995,21.15,90,90,120,8865.1,14.9,12_10_8_6_4,11.29,5.08,5.08,7.19,22.01,6
58,DFT,7.075,7.075,9.023,90,90,90,451.7,17.7,8_6_4,5.1,3.07,3.07,3.65,6.58,1
59,DOH,14.19,14.19,11.49,90,90,120,2005.2,17,6_5_4,7.85,2.55,2.55,2.62,0,4
60,DON,18.89,23.365,8.469,90,90,90,3737.9,17.1,14_6_5_4,8.79,2.19,1.79,8.07,15.59,5
61,EAB,13.178,13.178,15,90,90,120,2256.7,16,8_6_4,7.14,3.54,3.54,2.5,14.32,2
62,EDI,6.926,6.926,6.41,90,90,90,307.5,16.3,8_4,5.72,3.2,3.2,3.44,9.52,2
63,EEI,13.8761,35.745,22.48,90,90,90,11153.5,17.9,8_6_5_4,6.96,3.11,2.15,2.23,9.36,10
64,EMT,17.215,17.215,28.08,90,90,120,7207.5,13.3,12_6_4,11.55,6.54,6.54,7.37,27.39,4
65,EON,7.5709,18.148,25.93,90,90,90,3563,16.8,12_8_6_5_4,7.83,6.79,3.24,1.9,12.48,10
66,EPI,9.127,17.48,10.37,90,124.939,90,1357.2,17.7,8_5_4,5.47,3.62,1.25,3.48,9.04,3
67,ERI,13.054,13.054,15.17,90,90,120,2239.5,16.1,8_6_4,7.04,3.42,3.42,3.42,15.1,2
68,ESV,9.686,12.226,22.83,90,90,90,2704.3,17.7,8_6_5_4,6.22,1.78,3.66,1.78,8.36,6
69,ETL,7.5463,29.163,18.12,90,90,90,3989.4,18,8_6_5_4,6.37,3.19,1.63,3.42,7.27,6
70,ETR,20.6342,20.6342,8.426,90,90,120,3107,15.4,18_8_6_4,10.05,2.85,2.85,9.33,18.97,4
71,ETV,,,,,,,,,10_8_6_5_4,,,,,,7
72,EUO,13.901,22.861,20.58,90,90,90,6540.8,17.1,10_6_5_4,7,4.99,1.98,2.5,12.24,10
73,EWO,,,,,,,,,10_6_5,,,,,,4
74,EWS,19.4083,15.9011,17.97,90,90,90,5547.7,17.3,10_6_5_4,6.12,1.94,3.99,3.99,12.64,7
75,EWT,19.8011,19.8011,14.18,90,90,120,4817.6,14.5,21_10_6_5_4,7.75,4.29,4.29,6.22,21.95,13
76,EZT,10.233,12.558,21.71,90,90,90,2790.8,17.2,12_8_6_4,6.57,6.13,2.12,2.12,13.14,5
77,FAR,12.6015,12.6015,35.74,90,90,120,4915.6,17.1,6_4,6.36,2.47,2.47,2.26,0,4
78,FAU,24.345,24.345,24.34,90,90,90,14428.8,13.3,12_6_4,11.24,7.35,7.35,7.35,27.42,1
79,FER,19.018,14.303,7.541,90,90,90,2051.3,17.6,10_8_6_5,6.31,1.56,3.4,4.69,10.01,4
80,FRA,12.662,12.662,25.25,90,90,120,3507.2,17.1,6_4,6.67,2.7,2.7,2.66,0,6
81,GIS,9.801,9.801,10.15,90,90,90,975.8,16.4,8_4,4.97,3.32,3.32,3.32,9.38,1
82,GIU,12.5595,12.5595,41.02,90,90,120,5604.6,17.1,6_4,6.32,2.59,2.59,2.32,0,5
83,GME,13.672,13.672,9.85,90,90,120,1594.6,15.1,12_8_6_4,7.76,3.41,3.41,7.11,17.29,1
84,GON,16.901,20.4,5.255,90,90,90,1811.8,17.7,12_6_5_4,6.32,1.68,1.68,5.45,8.12,4
85,GOO,8.748,11.039,17.47,90,90,90,1687.6,19,8_6_4,4.51,3.22,3.22,2.84,4.83,5
86,HEU,17.523,17.644,7.401,90,116.104,90,2054.8,17.5,10_8_5_4,5.97,3.05,1.34,3.67,9.42,5
87,IFO,16.4388,4.9453,22.78,90,90,90,1852.1,17.3,16_6_4,7.76,7.22,1.97,1.09,16.89,4
88,IFR,18.628,13.436,7.629,90,102.322,90,1865.5,17.2,12_6_5_4,7.24,1.64,1.3,6.38,15.54,4
89,IFT,18.889,22.8023,29.08,90,90,90,12525.8,12.1,14_6_5_4_3,10.44,6.71,6.71,7.78,33.37,12
90,IFU,26.0358,25.5895,15.82,90,90,90,10543.2,12.1,20_14_12_8_6_5_4,10.99,6.84,6.11,6.11,33.08,9
91,IFW,21.6651,18.2308,12.48,90,124.74,90,4052.2,15.8,10_8_6_5_4,7.7,3.28,3.28,5.63,17.99,10
92,IFY,15.1512,15.1512,11.84,90,90,90,2719.8,17.6,8_6_4,6.94,3.83,3.83,2.22,10.62,4
93,IHW,13.747,24.069,18.32,90,90,90,6064.6,18.5,8_6_5_4,6.67,3.67,1.58,3.67,9.7,9
94,IMF,14.296,56.7881,20.29,90,90,90,16472.6,17.5,10_6_5_4,7.34,5.44,1.84,5.2,12.12,24
95,IRN,19.641,18.4574,16.56,90,90,90,6005.4,15.3,8_7_6_5_4,9.17,2.05,3.64,2.81,17.71,9
96,IRR,19.0315,19.0315,14.1,90,90,120,4423.1,11.8,18_12_6_5_4_3,14.46,6,6,12.12,37.79,4
97,IRY,15.9499,15.9499,31.07,90,90,120,6847.5,11.1,16_15_6_5_4_3,11.33,9.35,9.35,8.67,40.9,5
98,ISV,12.874,12.874,25.67,90,90,90,4255.2,15,12_6_5_4,7.01,6.32,6.32,6.28,21.34,5
99,ITE,20.753,9.804,20,90,90,90,4071.1,15.7,8_6_5_4,8.3,2.07,4.21,2.8,16.45,4
100,ITG,12.7411,12.6989,20.99,90,96.29,90,3377.2,16.6,12_10_6_5_4,7,5,6.3,5.21,15.72,16
101,ITH,12.5655,11.6615,21.93,90,90,90,3213.5,17.4,10_9_6_5_4,6.72,3.53,5.13,4.99,11.59,9
102,ITN,24.2,12.54,14.25,72.6,123.128,90,3382.8,16,12_10_6_5_4,6.95,4.86,4.54,4.7,16.74,27
103,ITR,11.6731,21.9694,25.17,90,90,90,6454.9,17.4,10_9_6_5_4,6.36,5.12,5.12,3.58,11.79,9
104,ITT,18.8677,18.8677,11.63,90,90,120,3586.6,12.8,18_10_6_5_4_3,11.74,2.29,2.29,11.2,25.1,4
105,ITV,26.3099,26.3099,26.3,90,90,90,18212,10.5,30_6_4,9.32,6.98,6.98,6.98,37.82,10
106,ITW,10.4496,15.0277,8.953,90,105.64,90,1354,17.7,8_6_5_4,4.73,2.78,1.54,3.95,7.83,3
107,IWR,21.2325,13.3024,12.67,90,90,90,3580.2,15.6,12_10_6_5_4,7.48,4.86,4.86,5.91,19.35,4
108,IWS,26.6887,26.6887,12.9,90,90,90,9194.1,14.8,12_6_5_4,8.25,6.38,6.38,6.66,23.19,7
109,IWV,27.8261,26.0805,13.94,90,90,90,10119.6,15,12_6_5_4,8.54,2.06,7.03,7.03,22.28,7
110,IWW,41.6908,12.7128,12.71,90,90,90,6737.1,16.6,12_10_8_6_5_4,7.07,4.91,4.91,6.25,15.3,16
111,JBW,5.256,7.45,8.159,90,90,90,319.5,18.8,8_6_4,4.29,3.72,2.53,1.46,4.18,2
112,JNT,8.2065,14.1364,15.4,90,119.27,90,1559,20.5,8_6_4,4.72,1.75,1.71,1.75,0,8
113,JOZ,7.1386,12.709,13.47,90,90,90,1222.1,16.4,8_4_3,4.92,3.09,3.5,3.09,7.5,3
114,JRY,8.165,9.1997,17.29,90,90,90,1299.1,18.5,10_6_4,4.59,2.05,4.4,1.75,6.76,3
115,JSN,8.7172,6.9231,14.94,90,96.99,90,895.3,17.9,8_6_4,5.12,1.59,2.75,3.46,8.04,4
116,JSR,19.845,19.845,19.84,90,90,90,7815.4,12.3,11_6_4_3,7.83,5.05,5.05,5.05,28.09,4
117,JST,14.97,14.97,14.97,90,90,90,3354.8,14.3,10_6_3,5.35,3.74,3.74,3.74,14.39,2
118,JSW,16.0185,9.6655,16.83,90,90,90,2606.2,18.4,8_6_4,5.38,1.92,2.6,1.65,0,6
119,KFI,18.578,18.578,18.57,90,90,90,6412.1,15,8_6_4,10.67,4.04,4.04,4.04,17.91,1
120,LAU,14.587,12.877,7.613,90,111.159,90,1333.6,18,10_6_4,6.04,2.09,2.09,4.07,9.57,3
121,LEV,13.168,13.168,22.57,90,90,120,3390.5,15.9,8_6_4,7.1,3.53,3.53,2.5,14.32,2
122,LIO,12.281,12.281,15.63,90,90,120,2041.8,17.6,6_4,6.05,2.37,2.37,2.29,0,4
123,LIT,14.844,8.5943,9.783,90,90,90,1248.2,19.2,10_8_6_4,3.24,1.51,1.81,1.53,0,3
124,LOS,12.607,12.607,10.34,90,90,120,1423.3,16.9,6_4,6.36,2.56,2.56,2.56,0,2
125,LOV,7.163,7.163,20.87,90,90,90,1071.1,16.8,9_8_6_4_3,5.15,3.78,3.78,3.77,7.57,3
126,LTA,11.919,11.919,11.91,90,90,90,1693.2,14.2,8_6_4,11.05,4.21,4.21,4.21,21.43,1
